TEXT,LOCATION,LABEL
choline acetyltransferase ec catalyzes the biosynthesis of acetylcholine according to the following chemical equation acetylcoa choline in equilibrium to acetylcholine coa in addition to nervous tissue primate placenta is the only other animal source which contains appreciable acetylcholine and its biosynthetic enzyme human brain Cd nucleus and human placental choline acetyltransferase were purified to electrophoretic homogeneity using ionexchange and blue dextransepharose affinity chromatography the molecular weights determined by sephadex g gel filtration and sodium dodecyl sulfate gel electrophoresis are plus or minus nethylmaleimide pchloromercuribenzoate and dithiobisnitrobenzoic acid inhibit the enzyme dithiothreitol reverses the inhibition produced by the latter two reagents the pka of the group associated with nethylmaleimide inhibition is plus or minus a chemically competent acetylthioenzyme is isolable by sephadex gel filtration the enzymes from the brain and placenta are thus far physically and biochemically indistinguishable,44,caudate
increasing concentrations of chloride were found to increase the resolution between two visible absorbance spectral transitions associated with acidification of ferricytochrome c analysis of a variety of spectral and viscosity measurements indicates that protonation of a single group having an apparent pk of and an intrinsic pk of about displaces the methionine ligand without significantly perturbing the native globular conformation analysis of methylated ferricytochrome c suggests that protonation of a carboxylate ion most likely a heme propionate residue is responsible for MSD of the methionine ligand addition of a proton to a second group having an apparent pk of displaces the histidine ligand and unfolds the protein from a globular conformation into a random coil it is most likely that the second protonation occurs on the imidazole ring of the histidine ligand itself chloride is proposed to perturb these transitions by ligation in the fifth coordination position of the heme ion such ligation stabilizes a globular conformation of ferricytochrome c at ph and degrees,81,displacement
the properties of the functional CG in a protein can be used as builtinprobes of the structure of the protein we have developed a general procedure whereby the ionization constant and chemical reactivity of solitary PET groups in proteins may be determined the method may be applied to the side chain of histidine tyrosine lysine and cysteine as well as to the amino terminus of the protein the method which is an extension of the competitive labeling technique using h and cfluorodinitrobenzene nphf in a doublelabeling procedure is rapid and sensitive advantage is taken of the fact that T3 acid hydrolysis of a dinitrophenylated protein a derivative is obtained which must be derived from a unique position in the protein the method has been applied to the solitary histidine residue of lysozyme alphalytic protease and streptomyces griseus sg trypsin as well as to the amino terminus of the latter protein the following parameters were obtained for reaction with nphf at degrees c in n kcl the histidine of hen eggwhite lysozyme pka of and secondorder velocity constant of m min the histidine of alphalytic protease pka of and secondorder velocity constant of m min the histidine of sg trypsin pka of and secondorder velocity constant of m min the valyl amino terminus of sg trypsin pka of and secondorder velocity constant of m min in addition the results obtained provide clues as to the microenvironments of these functional groups and indicate that the proteins studied undergo phdependent conformational changes which affect the microenvironment and hence the chemical CR of these groups,5|35|98|257,groups|functional|after|reactivity
primary amines react with pentanedione at ph to form enamines nalkylaminopentenones the latter compounds readily regenerate the primary amine at low ph or on treatment with hydroxylamine guanidine and substituted guanidines react with pentanedione to form nsubstituted aminodimethylpyrimidines at a rate which is lower by at least a factor of than the rate of reaction of pentanedione with primary amines selective modification of lysine and arginine side chains in proteins can readily be achieved with pentanedione modification of lysine is favored by reaction at ph or for short reaction times at ph selective modification of Arg is achieved by reaction with pentanedione for long times at ph followed by treatment of the protein with hydroxylamine the extent of modification of lysine and arginine side chains can readily be measured spectrophotometrically modification of lysozyme with pentanedione at ph results in modification of lysine residues and less than arginine residue in hr modification of lysozyme with pentanedione at ph results in modification of lysine residues and Arg residues in hr treatment of this modified protein with hydroxylamine regenerated the modified lysine residues but caused no NC in the modified arginine residues one arginine residue seems to be essential for the catalytic activity of the enzyme,95|164|183,arginine|arginine|change
a purification procedure is reported for obtaining bovine liver DHF reductase in high yield and amounts of mg a key step in the procedure is the use of an affinity gel prepared by coupling pteroylllysine to sepharose the purified reductase has a TPS activity of about unitsmg and is homogeneous as judged by analytical ultracentrifugation polyacrylamide gel electrophoresis and titration with methotrexate the products of the first step of edman Kd indicated a minimum purity of the reductase has a molecular weight of about on the basis of amino acid composition and from equilibrium sedimentation it is not inhibited by AS to the streptococcus faecium reductase isoenzyme unlike the reductase of many other vertebrate tissues the bovine enzyme is inhibited by mercurials rather than activated and it has a single ph optimum at both low and high ionic strength however the position of the ph optimum is shifted and the activity increased by increasing ionic strength automatic edman degradation has been used to determine of the aminoterminal amino acid residues considerable homology exists between this region and the corresponding regions of the reductase from s faecium and from escherichia coli this strengthens the idea that this region contributes to the structure of the binding site for DHF,9|42|70|100|206,dihydrofolate|specific|degradation|antiserum|dihydrofolate
dihydrofolate reductase has been purified fold to apparent homogeneity from a trimethoprimresistant strain of escherichia coli rt using a procedure that includes methotrexate affinity column chromatography determinations of the molecular weight of the enzyme based on its amino acid composition sedimentation velocity and sodium dodecyl sulfate gel electrophoresis gave values of and respectively an aggregated form of the enzyme with a low specific activity can be separated from the monomer by GF treatment of the aggregate with mercaptoethanol or dithiothreitol results in an increase in enzymic activity and a regeneration of the monomer also multiple molecular forms of the monomer have been detected by polyacrylamide gel PACE the unresolved enzyme exhibits two ph optima ph and ph with DHF as a substrate highest activities are observed in buffers containing large OCs in mm imidazolium chloride ph the specific activity is mumol of dihydrofolate reduced per min per mg at degrees folic acid also serves as a ATP with a single ph optimum of ph at this ph the km for folate is mum and the vmax is of the rate observed with DHF as the substrate monovalent cations na k rb and cs inhibit dihydrofolate reductase at a given ionic strength the degree of inhibition is a function of the ionic radius of the cation divalent cations are more potent inhibitors the i of bacl is mum as compared to mm for kcl anions neither inhibit nor activate the enzyme,71|106|118|130|156|182,gel filtration|electrophoresis|dihydrofolate|organic cations|substrate|dihydrofolate
ionization effects on the binding of the potential TS analogues phosphoglycolate and phosphoglycolohydroxamate appear to be attributable to the changing state of ionization of the ligands themselves therefore it is unnecessary to postulate the additional involvement of an ionizing residue at the active site of triosephosphate isomerase to explain the influence of changing ph on ki in the neutral range the binding of the competitive inhibitor inorganic sulfate is insensitive to changing ph in the neutral range chloroacetol sulfate synthesized as an activesitespecific reagent for triosephosphate isomerase is used to provide an indication of the pka of the essential carboxyl group of this enzyme previously described activesitespecific reagents for the isomerase were phosphate esters and their changing state of ionization accompanied by possible changes in their affinity for the AS site may have complicated earlier attempts to determine the pka of the essential carboxyl group from the ph dependence of the rate of inactivation being a strong monoprotic acid chloroacetol sulfate is better suited to the determination of the pka of the carboxyl group chloroacetol sulfate inactivates triosephosphate isomerase by the selective esterification of the same carboxyl group as that which is esterified by the phosphate esters described earlier from the ph dependence of the rate of inactivation of yeast triosephosphate isomerase the apparent pka of the activesite carboxyl group is estimated as,8|129,transition state|active
kinetic analyses of monoanion inhibition and cl nuclear magnetic resonance at mhz were employed to study monoanion interactions with the zinc metalloenzyme renal dipeptidase the enzymecatalyzed hydrolysis of glycyldehydrophenylalanine exhibited competitive inhibition when the reaction rate was determined in the presence of the monovalent anions fluoride chloride bromide iodide azide nitrate or thiocyanate or upon the addition of the divalent anion sulfate competitive inhibition was produced by these anions one anion was bound per enzyme molecule and except in the case of fluoride all of the anions appeared to bind at the same site cyanide ion produced a much more ERP inhibition of renal dipeptidase than the other monoanions and it was shown that two cyanide ions were bound per enzyme molecule an investigation of the effect of ph upon monoanion inhibition suggested that the anion inhibitors bind to the group with a pk of approximately complete dissociation of this group approximately ph eliminates the GABA effect of anions the cl L1 broadening produced by renal dipeptidase in m nacl solutions was times more effective than that produced by equivalent concentrations of aquozincii the line broadening was dependent upon the concentration of the metalloenzyme and independent of the frequency of the exciting radiation when zinc ion was removed from the metalloenzyme by dialysis or when chloride was titrated from the metalloenzyme by cyanide line broadening was decreased treatment of renal dipeptidase with saturating concentrations of the competitive inhibitor guanosine triphosphate in the presence of m nacl also produced a significant decrease in the cl L1 width the cl L1 broadening produced by renal dipeptidase was shown to decrease with increasing ph through the range ph this linewidth variation with ph appeared to result from the titration of a site on the metalloprotein with an approximate pk of temperature studies of cl L1 broadening by the metalloenzyme in the presence of chloride and cyanide inhibitors suggest that the fast exchange process pertains and that the dominant EC50 mechanism is quadrupolar in nature,100|155|161|254|258|301|325,effective|inhibitory|line|line|line|line|relaxation
the nearultraviolet circular dichroism cd of three homogeneous antitype iii pneumococcal antibodies in the absence and the presence of the specific hexasaccharide ligand was studied in addition recombinations and hybridizations of h and l chains derived from two of these antibodies were carried out and the cd spectra of bound and free reconstituted igg molecules were measured the results indicate that the cd spectra of the native antibodies in the nm range are very similar in shape and sign and exhibit a positive band at nm the homologous reconstituted antibody molecules exhibited cd spectra very similar in shape and sign to those of the native antibody molecules although recombinant molecules are no longer stabilized by interchain disulfide bonds upon addition of the hexasaccharide ligand a significant decrease in amplitude of the cd spectra occurred in all three native antibodies and their fab fragments as well as in the homologous recombinant molecules no cd spectral changes could be detected upon interaction of the hapten ligand with the rat recombinants all homogeneous antibodies studied exhibited fluorescence quenching upon oligosaccharide binding and a blue shift of the emission maximum this property allowed the determination of the binding constant of one selected antibody to be made taken together cd and fluorescence spectroscopic data suggest that oligosaccharide ligands induced detectable conformational changes in the fab fragment of the antibody,166,heterologous
the circular polarization of luminescence cpl emitted by tryptophan residues was used as a sensitive probe for measuring ligandinduced structural changes in a homogeneous type iii pneumococcal antibody a series of oligosaccharide ligands of increasing size derived from type iii polysaccharide by partial acid hydrolysis was assayed ligandinduced changes in the circular polarization of fluorescence of the antibody were observed for all antigens tested including tetra hexa and octasaccharides and a residue oligomer the largest changes being recorded upon interaction with the intact soluble type iii pneumococcal siii polysaccharide when fab or fab fragments were used instead of the antibody igg for binding of siii polysaccharide the extent of conformational changes was decreased this suggests interactions between fab and fc portions in the igg molecule and subsequent conformational changes in fc part upon antigen binding reduction of interchain disulfide bonds abolished the additional spectral changes attributed to the fc part but not the changes observed in the fab part thus suggesting that the presence of the interchain disulfide bond in the hinge region is required for maximal cpl changes to occur small monovalent ligands ie the tetra hexa and octasaccharides were capable of inducing cpl changes in the fab part of the antibody molecule as well as cpl changes attributed to the fc portion a multivalent ligand containing about sugar residues appears to be the minimal antigenic size required for triggering conformational changes attributed to the fc part similar to those seen in the interaction with the whole SPA,248,polysaccharide antigen
the PET role of the bacillus stearothermophilus s ribosomal protein bl probably rat to the escherichia coli protein l was examined by chemical modification the complex bls rna was photooxidized in the presence of rose bengal and the modified protein incorporated by reconstitution into s ribosomal subunits containing all other unmodified components particles containing photooxidized bl are defective in several PET assays including polyudirected polyphe synthesis peptidyltransferase activity ability to associate with a spolyuphetrna complex and binding of elongation factor g and gtp the rates of loss of the partial PET activities during photooxidation of bl indicate that at least two independent inactivating events are occurring a faster one involving oxidation of one or more histidine residues affecting peptidyltransferase and S1 association activities and a slower one affecting efg binding therefore the protein bl has one or more histidine residues which are essential for peptidyltransferase and S1 association and another residue which is essential for efggtp binding bl may be the ribosomal peptidyltransferase protein or a part of the AS site and may contribute functional groups to the other active CS as well,1|12|60|90|120|146|169|180,functional|homologous|functional|functional|subunit|subunit|active|sites
the localization of the previously postulated interface recognition site irs in porcine pancreatic phospholipase a required for a specific interaction between the enzyme and organized lipidwater interfaces was investigated by ultraviolet difference spectroscopy by measurements of the intrinsic fluorescence of the unique trp residue and by protection experiments against specific tryptic hydrolysis using the enzymically nondegradable ATP analogues cnhnoochchnchhoh it is shown that the rather hydrophobic nterminal CS of the enzyme viz alaleutrpglnphearg is directly involved in the interaction with the lipidwater interface besides hydrophobic probably also polar interactions contribute to the binding process at neutral or acidic ph the presence of a salt bridge between the nterminal alphanh group and a negatively charged side chain stablizes the interface recognition site and allows the enzyme to penetrate micellar surfaces even in the absence of metal ion at ALP ph interaction of the enzyme with micellar interfaces requires the presence of ca ba ions,56|67|137,substrate|sequence|alkaline
the action of snake venom phospholipases a in IN human erythrocytes was investigated in detail the basis phospholipase from agkistrodon halys blomhifii was found to induce both hydrolysis of membrane phospholipids and total cell hemolysis under certain experimental conditions the hydrolytic action of the basic enzyme was found to consist of two sequential events a hydrolysis of of the total cell ph osphatidylcholine without any evident hemolysis and b complete hydrolysis of the remaining phosphatidylcholine followed closely by extensive phosphatidylethanolamine hydrolysis and finally with onset of hemolysis attack on the phosphatidylserine at ph and mm ca only stage a occurred however a slight elevation of the ph of incubation to ph andor inclusion of mm ca in the reaction mixture caused both events a and b to occur the addition of gl limited the action of the enzyme to stage a under any reaction conditions an investigation showed that enzymically induced hemolysis occurred under conditions where the intracellular atp levels were lowered data are presented which suggest that stage b is mediated by in influx of ca into the cell when the levels of atp are low interestingly the phosphllipase from naja naja venom pakistan yielded results similar to those observed with the basic enzyme from agkistrodon venom however the enzyme from crotalus adamanteus and the acidic enzyme also present in the agkistrodon venom produced only slight hydrolysis or hemolysis under any of the conditions studied other species of erythrocytes eg guinea pig monkey pig and rat were tested but only those from guinea pig behaved similarly to the human cells pig monkey and rat erythrocytes underwent very limited hydrolysis and hemolysis it is evident that the use of these phospholipases to probe the localization of phospholipds in ghosts must be approached with caution certain facets of this problem are discussed,8|131|288,intact|glucose|erythrocyte membranes
the spontaneous inactivation of yeast G3P dehydrogenase was found to fit a simple twostate MM at ph and degrees the first step is a relatively rapid dissociation of the tetramer to dimers with the equilibrium largely in favor of the tetramer in the absence of nad the dimer inactivates irreversibly the apoenzyme is quite stable with a halflife for complete activity loss proportional to the square root of the enzyme concentration perturbances of the protein structure by ph ionic strength and specific salts which have no effect on the tetrameric state of the molecule result in an alteration of the cooperativity of nad IB the CR of the activesite sulfhydryl group and the catalytic activity of the enzyme covalent modification of two of the four activesite sulfhydryl CG has profound effects on the enzymic activity which are mediated by changes in the subunit interactions sedimentation analysis and hybridization studies indicate that the interaction between subunits remains strong T3 covalent modification under normal physiological and equilibrium dialysis conditions the protein is a tetramer ED studies of nad binding to the enzyme at ph and degrees reveal a mixed cooperativity pattern a model consistent with these observations and the observed halfofthesites reactivity is that of ligand induced sequential conformational changes which are transferred across strongly interacting S1 domains methods for distinguishing negatively cooperative IB patterns from mixtures of denatured enzyme and multiple species are discussed,5|14|103|105|127|157|172|214|221,glyceraldehydephosphate|model|binding|reactivity|groups|after|equilibrium dialysis|subunit|binding
the kinetics of the phinduced dissociation of the x mol wt hemoglobin from lumbricus terrestris the earthworm have been studied in a lightscattering stoppedflow apparatus the ligand dependent dissociation data were fit well by a simple sequential model the data for co and oxyhemoglobin are consistent with hb leads to hb leads to hb methemoglobin at ph appears to be hexameric and the dissociation is consistent with the model hb leads to hb in a sequential decay scheme for which lightscattering changes are monitored the relative amounts of rapid and slow phase are determined by the rate constants as well as the molecular weights of intermediate species assignment of the hexameric intermediate is supported by an investigation of the sensitivity of the theoretical kinetic curves to the molecular weights of the intermediates this assignment is further supported by the following the same model will fit the data for oxy and cohemoglobin at all three temperatures a fold variation in rate constants evidence from electron microscopy shows hexameric forms and methemoglobin is apparently SD as a hexamer at ph when co replaces o as the ligand the dissociation rate increases by a factor of four the met is about times faster than the initial oxyhemoglobin dissociation rate but perhaps more relevant for comparing dissociation of the hexamer the met rate was respectively times and times faster than that for the assumed hexameric forms of co and oxyhemoglobin the E(a) for the dodecamer to hexamer dissociation and for the dissociation of the hexamer to smaller forms were about kcalmol for oxy co and methemoglobin,172|237,stable|activation energies
the reduction of metmyoglobin by the ironii complex of transdiaminocyclohexanennnntetraacetate fecdta has been investigated the equilibrium constant measured spectrophotometrically is with a resulting reduction potential of v for mb the rate constant for the reduction is m sec with a deltah of kcal m and deltas of eu both cn and oh inhibit the reduction because of the relatively low CR of cyanometmyoglobin mbcn and ionized metmyglobin mboh the rate constant for the reduction of mbcn by fecdta is x m sec and that for reduction of mboh is m sec the nitric oxide complex of metmyoglobin is reduced with a rate constant of m sec the kinetics of oxidation of oxymyoglobin by fecdta were studied the data are consistent with a mechanism where oxidation takes place entirely through the deoxy form a rate constant of x m sec was calculated for the oxidation of deoxymyoglobin by fecdta in equilibrium constant and rate constant for reduction the above data are discussed in terms of a simple outersphere reduction reaction,60,reactivity
the purification of axonal membranes of crustaceans was followed by measuring enrichment in htetrodotoxin IB capacity and in na katpase activity a characteristic of these membranes is their high content of lipids and their low content of protein as compared to other types of plasmatic CM the axonal membrane contains myosinlike actinlike tropomyosinlike and tubulinlike proteins it also contains na katpase and acetylcholinesterase the molecular weights of these two enzymes after solubilization are and respectively the molecular weights of the catalytic subunits are for atpase and for acetylcholinesterase we confirmed the presence of a nicotine binding component in the axonal membrane of the lobster but we have been unable to find hnicotine IB to crab axonal CM the binding to axonal membranes og of the sodium channel has been studied in detail the dissociation constant for the binding of htetrodotoxin to the axonal membrane receptor is nm at ph the concentration of the tetrodotoxin receptor in crustacean membranes is about pmolmg of membrane protein times less than the acetylcholinesterase times less than the na katpase and times less than the nicotine IB component in the lobster membrane a reasonable estimate indicates that approximately only one peptide chain in constitutes the tetrodotoxin binding part of the sodium channel in the axonal membrane veratridine which acts selectively on the resting sodium permeability binds to the phospholipid part of the axonal membrane hveratridine binding to membranes parallels the EP effect veratridine and tetrodotoxin have different receptor sites although tetrodotoxin can repolarize the excitable membrane of a giant axon depolarized by veratridine veratridine does not affect the binding of htetrodotoxin to purified axonal membranes similarly tetrodotoxin does not affect the binding of hveratridine to axonal membranes scorpion neurotoxin i a presynaptic toxin which affects both the na and the k channels does not interfere with the binding of htetrodotoxin or hveratridine to axonal CM tetrodotoxin veratridine and scorpion neurotoxin i which have in common the perturbation of the normal SF-36 of the sodium channel act upon three different types of receptor sites,14|45|112|116|181|235|309|325,binding|membranes|binding|membranes|binding|electrophysiological|membranes|functioning
a new procedure is described for selecting nitrogenasederepressed mutants based on the method of brenchley et al brenchley je prival mj and magasanik b j biol chem for isolating histidaseconstitutive mutants of a nonnfixing bacterium nitrogenase levels of the new mutants in the presence of nh were as high as of the nitrogenase activity detected in the absence of nh PSA characterization of these nitrogen fixation nif derepressed mutants reveals that they fall into three classes three mutants strains sk and requiring glu for growth synthesize nitrogenase and glutamine synthetase constitutively in the presence of nh a second class of mutants strains sk and requiring glutamine for growth produces derepressed levels of nitrogenase activity and synthesized catalytically inactive glutamine synthetase protein as determined immunologically a third class of glutaminerequiring nitrogenasederepressed mutants strain sk and synthesizes neither a catalytically active glutamine synthetase enzyme nor an immunologically crossreactive glutamine synthetase protein fprime complementation analysis reveals that the mutant strains sk map in a segment of the klebsiella chromosome corresponding to the region coding for glutamine synthetase since the mutant strains sk and sk produce inactive glutamine synthetase protein it is concluded that these mutations map within the glutamine synthetase structural gene,60|82,biochemical|glutamate
the superoxide anion radical o reacts with ferricytochrome c to form ferrocytochrome c no intermediate complexes are observable no reaction could be detected between o and ferrocytochrome c at degrees c the rate constant for the reaction at ph to is m s and as the ph increases above the rate constant steadily decreases the dependence on ph is the same for tuna HR and horse heart cytochrome c no reaction could be demonstrated between o and the form of cytochrome c which exists above ph approximately the dependence of the rate constant on ph can be explained if cytochrome c has pks of and and o reacts with the form present below ph with k m s the form above ph with k m s and the form present above ph with k the reaction has an activation SE of kj mol and an enthalpy of activation at degrees c of kj mol both above and below ph it is suggested that o may reduce cytochrome c through a track composed of aromatic amino acids and that little protein rearrangement is required for the formation of the activated complex no reduction of ferricytochrome c by ho radicals could be demonstrated at ph but at ph ho radicals oxidize ferrocytochrome c with a rate constant of about m s,63|139,heart|energy
after a mus laser flash a mus phase in the decay of delayed fluorescence is visible under a variety of circumstances in spinach chloroplasts and subchloroplast particles EC in photosystem ii prepared by means of digitonin the level of this phase is high in the case of inhibition of oxygen evolution at the donor side of photosystem ii comparison with the results of babcock and sauer biochim biophys acta indicates that their epr signal iif which they suppose to be due to z the Ox first secondary donor of PS ii is well correlated with a large amplitude of our mus phase we explain our mus phase by the intrinsic back reaction of the excited reaction center in the presence of z as predicted by van gorkom and donze photochem photobiol the redox state of z is dependent on the internal ph of the thylakoids the results on the effect of ph in the mus region are compared with those obtained in the ms region,27|84|89,enriched|oxidized|photosystem
